Date,Open,High,Low,Close,Volume
6/17/2025,475.40,478.74,474.08,478.04,"15,414,130"
6/16/2025,475.21,480.69,475.00,479.14,"15,626,100"
6/13/2025,476.41,479.18,472.76,474.96,"16,814,461"
6/12/2025,475.02,480.42,473.52,478.87,"18,950,580"
6/11/2025,470.02,475.47,469.66,472.62,"16,399,180"
6/10/2025,471.19,472.80,466.96,470.92,"15,375,940"
6/9/2025,469.70,473.43,468.62,472.75,"16,469,930"
6/6/2025,470.09,473.34,468.78,470.38,"15,285,620"
6/5/2025,464.96,469.65,464.03,467.68,"20,154,461"
6/4/2025,464.00,465.69,463.02,463.87,"14,162,690"
6/3/2025,461.47,464.14,460.86,462.97,"15,743,760"
6/2/2025,457.14,462.11,456.89,461.97,"16,626,500"
5/30/2025,459.72,461.68,455.54,460.36,"34,770,480"
5/29/2025,461.55,461.72,455.31,458.68,"13,982,210"
5/28/2025,461.22,462.52,456.93,457.36,"17,086,260"
5/27/2025,456.48,460.95,456.12,460.69,"20,974,289"
5/23/2025,449.98,453.69,448.91,450.18,"16,883,510"
5/22/2025,454.95,460.25,453.90,454.86,"18,025,609"
5/21/2025,454.57,457.78,451.81,452.57,"19,216,910"
5/20/2025,455.59,458.34,454.32,458.17,"15,441,810"
5/19/2025,450.88,459.59,450.80,458.87,"21,336,510"
5/16/2025,452.05,454.36,448.73,454.27,"23,849,779"
5/15/2025,450.77,456.19,450.43,453.13,"21,992,320"
5/14/2025,448.14,453.90,448.14,452.94,"19,902,801"
5/13/2025,447.78,450.67,445.36,449.14,"23,618,820"
5/12/2025,445.94,449.37,439.78,449.26,"22,821,939"
5/9/2025,440.00,440.74,435.88,438.73,"15,324,230"
5/8/2025,437.93,443.67,435.66,438.17,"23,491,330"
5/7/2025,433.84,438.12,431.11,433.35,"23,307,240"
5/6/2025,432.20,437.73,431.17,433.31,"15,104,200"
5/5/2025,432.87,439.50,432.11,436.17,"20,136,051"
5/2/2025,431.74,439.44,429.99,435.28,"30,757,430"
5/1/2025,431.11,436.99,424.90,425.40,"58,938,102"
4/30/2025,390.30,396.66,384.44,395.26,"36,461,078"
4/29/2025,391.30,395.10,390.38,394.04,"14,973,980"
4/28/2025,391.96,392.74,386.64,391.16,"16,579,430"
4/25/2025,387.00,392.16,384.60,391.85,"18,973,170"
4/24/2025,375.70,388.45,375.19,387.30,"22,232,289"
4/23/2025,376.06,380.39,373.02,374.39,"20,545,529"
4/22/2025,363.38,367.77,359.86,366.82,"19,484,990"
4/21/2025,362.82,364.48,355.67,359.12,"20,807,279"
4/17/2025,373.75,374.32,366.89,367.78,"21,120,189"
4/16/2025,380.67,381.61,368.00,371.61,"21,967,830"
4/15/2025,388.51,391.89,384.16,385.73,"17,199,891"
4/14/2025,393.22,394.65,384.21,387.81,"19,251,170"
4/11/2025,380.64,390.05,378.89,388.45,"23,839,221"
4/10/2025,382.06,383.90,367.80,381.35,"38,024,367"
4/9/2025,353.54,393.23,353.10,390.49,"50,199,699"
4/8/2025,368.26,373.65,350.25,354.56,"35,868,922"
4/7/2025,350.88,371.00,344.79,357.86,"50,425,000"
4/4/2025,364.13,374.59,359.48,359.84,"49,209,848"
4/3/2025,374.79,377.48,369.35,373.11,"30,198,000"
4/2/2025,377.97,385.08,376.62,382.14,"16,092,560"
4/1/2025,374.65,382.85,373.23,382.19,"19,689,500"
3/31/2025,372.54,377.07,367.24,375.39,"35,184,680"
3/28/2025,388.08,389.13,376.93,378.80,"21,632,020"
3/27/2025,390.13,392.24,387.40,390.58,"13,766,760"
3/26/2025,395.00,395.31,388.57,389.97,"16,132,910"
3/25/2025,393.92,396.36,392.64,395.16,"15,774,970"
3/24/2025,395.40,395.40,389.81,393.08,"21,004,551"
